Study_Hours_Per_Week,Attendance_Percentage,Previous_Exam_Score,Sleep_Hours_Per_Night,Practice_Tests_Taken,Tutoring_Sessions,Final_Exam_Score
30.3,81.1,42.9,7.2,13,10,85.1
26.4,81.6,44.2,5.9,10,5,71.3
8.6,86.7,63.4,7.0,1,5,61.9
38.4,56.6,57.1,6.0,9,1,70.3
17.8,85.8,53.5,7.5,1,5,59.3
12.5,95.5,56.3,6.7,14,3,72.5
6.6,59.0,86.6,5.3,3,8,68.3
28.6,61.9,93.9,5.1,1,0,72.2
32.1,98.6,63.5,7.2,6,7,86.7
5.7,59.0,92.6,9.0,12,4,74.1
25.5,92.7,58.6,6.2,14,0,78.7
14.1,74.6,67.6,8.2,8,3,68.4
30.8,62.4,53.1,7.8,6,0,61.9
12.0,93.5,77.1,9.2,11,5,80.2
32.6,72.3,96.8,8.6,5,1,81.1
20.5,75.7,75.0,7.3,15,4,83.6
42.5,68.0,60.8,7.8,14,6,92.4
10.5,79.6,77.6,9.0,9,1,77.7
18.6,58.2,47.1,6.5,0,5,52.7
9.5,69.6,91.5,6.1,10,5,70.1
42.0,98.5,69.2,4.6,9,4,91.6
40.1,62.9,66.1,8.6,8,4,86.5
15.3,82.8,74.0,8.5,4,2,72.8
31.4,66.3,76.2,5.0,15,9,92.0
37.7,88.7,44.2,7.4,10,9,82.7
27.2,56.5,79.6,6.8,4,10,83.9
26.2,98.5,54.0,5.1,5,1,63.0
14.7,72.7,81.4,9.4,8,6,75.9
8.7,61.8,87.7,5.6,12,0,65.9
40.9,53.7,86.6,4.8,7,5,87.5
41.0,58.5,72.0,7.5,7,5,88.2
30.3,76.0,70.2,8.2,13,2,82.0
18.6,66.9,48.3,4.7,7,1,55.1
19.0,91.4,85.0,7.8,0,1,68.8
34.0,71.5,55.7,7.2,0,8,74.3
40.9,62.4,68.8,5.0,7,10,90.2
40.5,80.9,56.5,5.4,4,4,79.8
36.2,85.3,47.8,7.3,8,6,84.5
30.7,58.4,76.5,6.0,1,4,72.4
8.4,58.4,43.2,9.2,15,6,65.9
11.5,51.8,83.4,8.6,8,3,61.6
40.9,86.8,58.4,9.4,11,7,95.3
29.3,83.2,40.0,5.8,13,10,84.8
5.4,73.7,69.6,9.3,7,9,72.3
9.1,92.2,42.7,6.7,8,10,64.5
31.5,90.3,56.0,6.2,3,9,77.4
5.2,79.3,81.0,4.8,0,6,57.5
11.4,93.4,43.6,4.8,0,9,59.3
26.9,60.3,88.7,8.0,4,4,81.6
32.7,55.6,40.2,6.8,1,10,66.2
31.1,63.5,54.3,5.6,15,5,84.1
14.0,52.9,83.0,7.6,13,4,75.4
33.5,76.6,58.3,5.8,7,6,78.9
14.5,96.8,45.9,7.4,9,1,62.0
18.0,52.0,60.9,6.3,10,4,68.2
34.9,56.1,55.7,8.6,4,9,79.3
31.0,72.6,88.9,8.6,4,2,89.2
39.0,96.7,58.2,6.9,1,8,81.0
31.3,65.8,85.8,6.3,6,5,85.1
27.7,75.4,91.7,6.3,12,9,94.7
8.7,52.1,65.2,8.5,7,2,53.4
19.7,57.4,92.8,6.1,9,6,80.3
15.6,99.3,61.9,5.5,12,3,74.4
14.8,98.3,95.9,4.9,0,2,80.3
43.9,50.2,45.2,6.8,1,7,71.6
20.7,97.6,79.8,6.9,9,3,77.3
40.7,82.0,68.6,8.7,15,10,100.0
30.2,93.4,62.5,5.6,3,0,62.2
36.8,72.7,76.7,6.4,4,5,82.8
25.1,75.8,80.8,8.5,12,9,92.8
28.1,74.4,40.3,8.6,1,10,72.4
24.7,83.3,49.7,6.4,0,10,72.9
12.8,57.0,81.4,6.8,8,0,61.3
33.9,51.5,78.7,6.0,13,4,85.3
16.2,65.4,96.0,9.2,0,6,70.5
6.0,85.2,84.1,5.1,12,5,70.5
30.8,60.1,95.1,9.2,14,1,92.0
12.1,83.7,80.7,7.9,3,10,71.6
42.6,98.5,57.3,7.2,1,3,78.9
43.2,54.7,46.1,4.7,10,10,81.6
41.6,83.6,85.3,6.9,3,1,87.7
19.8,72.2,77.4,6.5,7,10,87.6
5.6,93.4,42.8,5.3,7,0,45.0
42.1,58.9,60.9,7.8,14,2,80.3
22.1,84.6,95.5,9.4,10,2,86.5
43.7,91.9,69.0,7.3,11,6,98.9
43.5,97.2,65.1,8.1,8,0,88.7
39.1,84.2,66.5,4.8,12,8,93.4
16.8,74.9,52.1,6.6,14,10,78.0
20.4,80.9,61.4,5.1,10,5,74.8
39.0,93.4,61.4,7.6,14,3,96.5
17.7,78.5,43.0,9.2,11,2,58.4
11.8,51.5,84.5,7.8,4,2,60.1
27.3,96.5,64.2,4.9,6,1,73.4
42.4,84.5,87.7,6.3,2,1,82.6
32.8,83.8,89.3,7.3,9,9,100.0
27.8,60.8,52.3,6.5,3,4,61.4
8.9,82.9,78.1,8.7,9,8,77.3
29.6,69.7,67.4,8.6,8,1,77.2
44.6,82.6,91.0,7.6,9,1,94.8
10.6,55.3,52.5,6.4,9,5,51.9
25.7,82.9,79.3,5.8,13,9,91.5
40.1,100.0,75.2,5.0,11,1,95.4
34.6,52.4,57.1,6.3,0,3,62.4
32.9,98.9,47.9,6.6,1,5,69.5
33.1,70.3,77.8,7.9,15,4,95.7
19.4,93.5,82.8,7.8,4,0,70.7
16.7,89.1,58.3,4.9,2,5,60.7
37.4,78.4,77.4,6.5,1,0,75.8
37.4,86.9,62.9,5.4,0,2,75.2
39.7,93.9,81.4,5.3,9,9,100.0
41.5,70.2,51.6,8.6,2,4,78.3
25.5,66.4,91.6,4.7,0,9,82.7
25.1,83.4,56.7,6.6,11,4,74.9
36.9,90.4,61.3,5.3,0,9,77.7
31.0,88.1,43.4,8.9,11,5,80.4
33.1,89.9,46.5,7.3,0,9,75.3
36.8,71.8,69.9,5.7,7,7,82.2
40.6,90.9,55.5,7.0,14,4,91.6
18.5,56.0,88.5,8.2,2,10,78.3
20.0,77.2,40.9,9.3,10,0,63.5
8.8,50.3,62.0,5.6,0,4,49.4
28.1,66.2,59.6,8.9,6,2,71.1
6.4,68.3,41.1,9.2,9,3,51.9
23.6,69.8,47.2,9.1,2,7,63.8
26.7,84.8,64.0,7.7,7,6,75.5
16.5,69.4,68.6,7.6,3,10,78.1
28.6,72.4,63.4,6.5,3,4,70.4
6.2,61.9,70.8,8.3,4,1,53.1
6.5,68.7,74.5,7.2,5,5,58.9
37.9,61.4,40.6,7.9,6,10,89.2
19.4,53.7,66.9,6.6,13,5,70.1
10.1,80.2,95.9,8.2,13,9,87.7
25.9,83.4,70.1,8.6,3,9,82.7
35.8,81.0,79.3,5.2,15,10,100.0
13.6,73.2,58.1,8.7,7,5,69.0
29.9,69.0,84.9,7.2,12,8,100.0
8.4,93.2,84.8,8.7,5,10,81.4
7.1,76.0,70.2,6.7,13,7,69.8
26.3,74.0,96.6,6.4,0,7,80.3
26.6,51.3,47.3,9.1,0,0,53.8
30.5,67.1,41.0,5.8,8,4,75.0
34.0,69.0,84.7,8.7,9,6,87.0
44.0,69.9,86.8,6.9,5,5,96.9
25.7,79.0,47.0,7.1,15,4,78.2
17.9,76.7,55.4,6.0,15,7,80.6
36.8,80.4,41.0,7.4,9,2,74.3
15.8,88.2,57.0,6.1,7,5,64.8
22.6,90.6,84.8,4.7,12,4,88.4
8.1,85.9,70.0,5.9,6,7,70.1
6.0,97.8,60.2,4.5,11,3,67.8
43.5,50.9,61.6,9.4,5,7,84.3
38.4,59.8,40.1,9.3,15,9,86.4
32.8,50.4,57.4,6.5,3,1,57.5
21.4,82.4,77.5,8.1,15,8,94.8
11.9,94.9,96.5,6.2,6,8,84.5
11.3,62.2,89.1,7.9,8,9,75.0
15.0,96.4,41.4,8.5,13,9,75.2
27.0,53.0,92.1,9.2,10,5,85.0
33.6,96.7,85.4,6.5,9,3,86.6
31.4,67.6,85.3,8.4,9,3,83.0
16.2,55.1,66.6,5.8,13,5,67.1
43.2,74.3,63.1,9.5,6,4,85.1
34.5,62.8,57.6,4.6,0,5,64.5
27.2,64.2,43.8,7.5,9,6,65.2
29.5,65.4,53.2,7.8,8,6,82.3
21.8,90.2,54.3,7.9,12,8,86.6
14.9,77.0,68.1,5.1,3,7,63.4
19.2,65.6,83.4,9.2,14,5,86.0
35.3,80.5,67.5,5.4,2,5,78.9
5.6,85.8,43.4,7.6,3,4,55.0
9.6,63.6,95.6,5.6,3,0,57.8
6.8,70.7,94.7,6.0,12,8,84.3
6.6,56.1,85.5,7.2,9,8,69.9
39.2,59.1,97.5,6.6,10,8,95.4
33.1,84.1,71.6,5.3,1,10,85.9
24.0,59.1,95.8,5.4,13,7,94.4
8.9,76.3,44.4,6.6,11,9,75.2
24.7,85.5,61.2,8.3,13,2,75.2
23.9,55.3,53.1,9.0,0,0,56.0
11.9,78.4,51.4,4.9,11,10,69.6
22.4,62.8,48.2,6.5,9,7,72.1
20.9,98.1,76.1,5.0,11,6,79.6
29.6,74.2,85.3,4.6,0,4,69.9
30.4,90.3,73.5,7.8,12,9,93.5
6.8,77.5,48.5,7.5,13,6,65.6
20.0,52.2,87.0,5.3,7,9,76.3
30.0,81.7,76.9,5.7,13,3,89.3
25.1,97.6,62.5,4.6,1,8,77.7
39.3,80.1,79.1,8.7,11,10,100.0
31.3,91.0,55.1,9.4,9,9,94.2
11.5,94.2,60.0,5.2,4,1,59.2
7.8,61.4,93.2,5.7,11,8,73.2
30.7,60.6,56.8,8.8,15,8,92.2
6.1,80.5,67.3,9.1,3,4,57.6
28.4,70.6,91.6,6.6,7,10,95.2
42.6,92.0,81.0,4.8,1,0,87.0
28.0,95.0,43.6,4.7,9,6,76.9
20.5,67.7,48.5,7.4,8,9,66.0
30.7,61.8,40.5,6.5,6,9,68.3
23.3,89.0,76.6,4.6,14,3,88.5
26.8,63.7,66.0,7.4,12,8,83.5
42.7,91.1,47.8,4.6,6,5,81.9
20.4,71.2,95.6,8.4,0,2,74.0
43.4,83.4,70.7,6.0,13,5,99.8
41.2,54.8,54.0,4.7,15,9,91.6
12.8,81.2,69.0,7.4,11,5,73.1
7.8,72.6,79.4,6.5,1,4,58.2
9.0,79.3,44.4,9.4,3,1,52.8
5.7,58.4,55.9,7.2,3,9,57.9
8.8,86.8,86.8,5.9,10,9,80.4
32.3,93.1,66.7,8.0,13,1,90.4
7.8,60.8,71.7,5.9,2,6,57.0
17.8,54.8,65.1,9.0,6,1,58.3
38.8,51.2,42.5,6.4,11,5,73.3
5.9,82.1,49.6,7.2,7,4,53.1
37.6,80.4,65.8,4.8,1,3,73.3
16.3,77.3,52.1,6.6,15,6,79.0
9.7,61.6,42.9,8.7,3,7,50.7
32.9,69.5,88.9,8.5,13,3,93.7
30.2,79.7,96.9,5.6,15,0,89.7
40.1,74.8,86.0,5.6,2,0,78.9
34.4,99.4,89.5,8.6,1,0,78.0
37.1,56.8,54.0,9.2,11,10,87.9
16.3,84.8,95.7,5.0,12,0,78.4
12.1,70.2,51.4,6.8,13,4,67.3
35.0,71.4,95.2,6.2,5,3,87.2
37.3,85.9,97.7,8.9,12,8,100.0
44.6,84.6,81.3,4.9,15,2,100.0
21.5,99.6,96.9,5.6,3,6,85.2
19.9,56.4,73.0,8.3,5,10,76.6
36.1,55.2,55.1,4.8,1,7,69.6
18.6,86.2,65.3,7.0,11,5,75.5
42.2,78.9,74.4,6.7,3,9,92.5
39.3,63.7,44.2,6.2,10,0,73.3
22.2,54.0,76.1,6.5,5,7,66.7
35.0,54.3,96.9,7.1,13,9,99.1
35.2,94.7,51.0,5.3,4,2,71.8
9.1,59.6,86.0,7.4,2,7,66.5
41.1,66.2,92.7,8.5,7,3,97.0
25.2,61.3,94.7,8.3,6,7,82.7
38.1,67.7,95.7,5.3,15,10,100.0
17.8,53.5,70.2,5.2,15,0,66.6
40.8,76.0,96.7,5.8,2,2,84.2
20.6,53.4,83.9,6.3,5,5,70.3
5.4,90.0,49.4,6.5,3,8,60.7
41.2,61.7,67.7,7.9,10,1,79.8
8.7,77.0,81.7,4.8,4,10,72.8
17.8,94.0,54.3,4.7,10,0,59.1
43.0,82.5,77.2,6.5,4,9,93.0
43.0,76.6,78.7,8.0,15,2,97.3
27.9,66.2,49.4,5.5,6,3,70.8
30.3,66.7,72.8,7.7,10,10,89.2
22.9,83.5,84.8,5.8,4,4,68.9
16.7,99.7,68.9,8.9,10,2,69.5
18.1,83.1,40.7,9.0,14,9,78.0
31.9,77.9,40.5,6.0,15,10,88.5
35.1,86.5,60.7,5.6,2,1,72.4
36.7,73.3,93.7,6.6,9,1,90.2
36.6,53.0,53.3,5.7,4,6,75.7
8.6,78.1,76.8,7.9,6,8,70.0
24.8,97.9,52.9,8.6,4,9,81.6
7.3,58.8,58.7,7.9,4,1,43.7
27.0,84.5,89.2,8.6,8,6,87.3
22.7,60.0,82.3,6.5,14,6,78.8
40.5,76.8,45.5,5.3,2,10,78.1
19.0,54.8,64.9,8.2,12,6,74.4
9.7,72.5,41.7,6.3,5,2,49.4
10.7,87.8,67.9,7.9,0,6,63.2
35.5,67.4,78.4,5.9,9,0,77.1
29.7,83.2,46.9,4.9,4,9,73.2
9.0,89.8,56.8,9.5,7,0,54.2
8.4,96.4,63.1,5.3,4,4,65.9
33.0,61.7,93.3,9.4,8,1,84.7
7.9,70.0,97.6,9.4,10,8,80.9
37.9,57.6,42.6,8.5,5,6,78.6
33.2,99.6,84.1,7.8,7,3,86.1
8.3,96.4,61.6,7.4,9,3,62.4
8.4,77.0,62.8,8.8,7,1,55.5
44.5,92.1,83.7,5.9,12,4,100.0
20.0,76.0,93.3,6.8,2,3,74.9
19.8,81.2,95.2,7.6,6,0,78.7
37.5,54.5,73.5,6.6,13,7,100.0
42.9,87.8,60.7,6.6,6,2,75.4
44.4,56.4,85.7,6.2,13,5,100.0
35.1,91.3,54.6,7.3,9,3,79.6
20.1,89.1,72.7,8.8,11,8,84.8
8.3,85.4,60.8,5.5,5,6,59.7
36.1,51.8,78.1,9.2,11,8,89.6
27.3,65.2,53.9,7.9,6,9,81.5
22.0,63.2,51.1,8.6,13,2,72.7
41.3,68.0,93.3,7.3,1,0,82.2
9.4,54.4,45.9,8.4,8,4,59.0
24.7,96.8,69.3,4.6,9,2,71.8
5.5,77.7,52.8,8.6,9,5,56.5
23.7,65.3,42.3,4.7,0,7,49.7
7.3,69.8,42.1,8.9,0,10,51.5
9.8,72.4,50.2,9.5,2,3,53.2
9.7,80.0,90.3,6.0,13,4,79.1
31.0,75.8,56.4,5.6,14,4,82.2
34.8,96.0,95.1,8.3,2,3,84.6
28.3,74.8,73.7,5.8,0,3,71.9
43.5,99.6,65.3,8.8,11,3,97.1
20.0,92.6,73.6,5.0,6,3,75.3
16.4,60.4,70.0,5.1,3,3,52.7
39.7,96.5,84.0,9.4,9,4,100.0
13.9,55.8,56.4,7.9,12,1,57.3
43.5,90.9,60.5,8.7,1,1,77.8
5.5,69.0,91.9,6.1,9,8,76.9
43.8,93.9,94.9,7.9,4,1,95.0
6.7,93.4,91.8,7.5,5,5,70.5
40.6,90.3,64.3,7.5,8,1,85.1
26.1,89.5,85.3,7.9,3,4,75.5
44.7,65.2,67.6,7.4,1,3,82.9
8.0,54.0,68.9,6.6,4,6,57.3
27.2,70.1,51.9,5.9,2,6,69.9
43.8,58.7,74.3,8.3,1,5,80.8
25.9,84.7,50.8,5.6,11,9,79.3
30.2,67.3,59.2,8.0,0,4,64.2
32.8,98.8,89.6,5.7,9,0,91.6
23.2,82.0,52.0,7.6,1,2,58.1
30.1,91.1,44.1,8.2,5,8,79.4
28.4,56.6,44.0,5.6,7,0,57.4
41.0,93.1,94.6,4.8,12,4,95.8
6.8,96.1,69.4,5.2,2,1,53.9
16.2,74.4,63.7,7.5,10,3,65.3
43.0,80.3,87.0,8.7,14,10,100.0
40.6,88.2,88.5,4.7,8,0,85.4
23.2,58.7,59.3,8.2,14,2,76.5
29.8,75.1,80.2,6.2,11,9,92.4
16.1,69.9,84.7,6.9,8,6,76.4
12.5,57.3,78.0,9.1,1,9,69.9
23.5,68.4,48.8,6.2,7,2,65.8
19.1,53.4,90.8,6.8,9,3,75.0
28.3,51.3,71.3,4.6,10,1,68.3
8.1,56.8,56.4,4.9,11,2,49.2
44.0,98.2,64.7,5.8,4,8,90.1
44.4,77.5,42.2,4.6,3,2,68.8
32.9,98.3,47.4,7.7,9,10,88.7
26.4,71.6,84.4,6.6,4,4,76.0
17.4,65.6,40.0,7.2,3,1,52.1
37.6,75.3,64.2,5.4,15,3,86.4
32.4,72.0,70.3,6.0,7,6,81.8
11.5,55.3,43.2,7.8,3,6,55.7
41.4,82.0,96.4,9.3,12,2,100.0
37.9,60.8,53.1,4.8,9,4,76.0
43.0,81.0,57.6,9.0,11,0,83.7
34.0,82.5,57.6,7.4,12,9,89.1
29.5,57.6,53.4,7.3,13,9,79.7
21.7,53.1,40.1,7.0,15,9,71.8
42.3,89.0,82.3,4.8,5,10,100.0
39.6,73.0,96.1,4.9,1,0,80.2
6.8,52.9,53.0,7.5,4,4,44.8
6.1,99.7,78.5,6.2,5,9,80.0
20.1,52.9,83.0,9.1,4,8,76.9
37.4,84.8,89.2,6.5,11,0,86.7
44.5,99.2,64.5,5.2,1,0,77.3
11.0,62.0,57.6,8.1,13,3,65.3
28.8,57.1,58.9,6.0,6,3,73.5
20.2,56.1,81.3,7.1,3,1,60.2
43.8,65.2,87.4,8.0,7,8,100.0
38.7,55.1,50.5,9.0,6,8,84.9
38.5,84.6,61.5,8.5,6,1,77.9
23.7,53.1,92.3,7.9,8,8,84.1
21.6,75.5,86.8,7.9,0,5,69.8
15.9,99.8,97.1,9.2,9,7,90.7
7.3,90.7,83.7,6.0,5,9,74.4
39.6,80.8,62.8,4.5,5,3,81.2
37.5,65.3,74.3,5.9,5,1,80.7
45.0,81.2,78.3,5.6,12,1,91.5
44.9,76.4,44.6,7.8,11,8,84.2
27.2,71.3,71.6,7.7,5,0,69.9
35.8,56.5,81.1,7.5,11,6,91.7
42.8,94.3,49.7,4.6,9,10,93.7
39.0,72.5,85.3,8.1,6,2,86.2
14.9,59.7,73.9,6.1,13,2,70.5
23.0,68.4,95.2,7.8,9,1,85.8
10.2,70.7,42.5,7.3,5,9,60.5
43.2,91.4,55.4,6.2,0,5,78.1
29.2,86.7,74.9,5.2,2,9,80.3
14.1,88.5,57.2,5.0,1,1,53.4
31.9,50.6,81.4,8.7,5,9,90.8
29.7,70.8,84.0,9.1,7,3,82.6
19.3,74.1,45.9,7.7,2,9,64.4
9.5,51.0,69.8,5.0,9,8,63.9
31.9,63.0,69.5,6.5,7,8,86.4
25.8,88.0,61.4,8.1,7,5,84.7
35.9,56.9,94.1,8.4,4,3,86.0
25.8,76.8,88.0,5.1,7,6,84.1
39.1,60.8,80.4,4.5,5,0,76.9
27.1,50.6,81.4,8.1,4,3,64.0
27.4,62.1,66.8,6.3,8,4,76.6
40.1,98.8,93.4,5.8,13,7,100.0
21.1,90.1,80.3,4.6,6,1,74.0
10.4,98.0,82.3,7.2,7,4,71.9
6.2,74.4,90.0,8.8,0,5,62.9
35.2,55.5,55.9,9.3,10,4,77.5
29.8,77.4,86.8,7.3,1,8,87.6
33.2,72.7,51.3,7.1,7,9,79.5
13.5,92.2,60.0,4.9,11,0,72.2
10.5,54.9,59.5,7.2,8,2,57.8
5.6,74.4,96.8,6.4,3,1,57.9
19.0,57.5,89.7,7.5,15,2,80.8
28.6,66.2,80.7,6.4,11,9,88.1
20.7,86.9,82.2,5.7,15,8,84.4
22.5,73.8,72.6,5.0,9,8,85.8
41.2,68.8,94.9,6.1,10,9,100.0
18.9,69.7,68.8,5.0,9,1,68.3
25.6,73.0,62.1,5.4,13,2,76.1
36.3,89.3,49.5,9.4,8,3,76.0
20.9,94.6,85.6,6.7,3,8,80.9
29.9,97.8,82.6,7.2,9,2,90.6
39.5,89.3,62.3,8.9,15,6,95.1
43.0,65.8,41.5,9.5,9,2,69.0
